location,date,SO2,PM10,O3,NO2,CO,PM25
DHD,20170101,0.003,34,0.011,0.038,0.4,
DHD,20170101,0.003,46,0.019,0.026,0.2,
DHD,20170101,0.003,51,0.016,0.035,0.4,
DHD,20170101,0.004,52,0.006,0.051,0.8,
DHD,20170101,0.005,63,0.007,0.05,0.9,
DHD,20170101,0.005,68,0.006,0.052,1,
DHD,20170101,0.005,74,0.02,0.029,0.5,
DHD,20170101,0.005,52,0.007,0.04,0.8,
DHD,20170101,0.006,40,0.002,0.043,1,
DHD,20170101,0.004,47,0.018,0.027,0.4,
DHD,20170101,0.005,55,0.008,0.04,0.6,
WPD,20170101,0.003,42,0.016,0.019,0.6,
WPD,20170101,0.003,51,0.019,0.022,0.7,36
WPD,20170101,0.003,69,0.022,0.022,0.9,50
WPD,20170101,0.004,62,0.012,0.037,0.9,42
WPD,20170101,0.003,48,0.011,0.034,0.7,27
WPD,20170101,0.003,25,0.018,0.028,0.5,6
WPD,20170101,0.003,41,0.007,0.034,0.6,22
WPD,20170101,0.003,24,0.019,0.026,0.4,9
WPD,20170101,0.004,50,0.033,0.021,0.6,27
WPD,20170101,0.004,28,0.024,0.022,0.4,8
WPD,20170101,0.003,18,0.025,0.016,0.3,4
WPD,20170101,0.003,36,0.019,0.025,0.6,18
WPD,20170101,0.003,22,0.019,0.023,0.5,6
WPD,20170101,0.003,44,0.024,0.018,0.4,4
WPD,20170101,0.003,28,0.019,0.018,0.5,5
WPD,20170101,0.003,34,0.009,0.029,0.7,16
WPD,20170101,0.003,42,0.006,0.035,0.9,26
WPD,20170101,0.005,64,0.007,0.036,1,50
WPD,20170101,0.004,,0.009,0.037,1.2,77
WPD,20170101,0.004,33,0.022,0.024,0.7,24
WPD,20170101,0.002,23,0.023,0.019,0.6,11
WPD,20170101,0.004,39,0.03,0.017,0.5,11
WPD,20170101,0.003,34,0.025,0.023,0.6,20
WPD,20170101,0.003,45,0.014,0.029,0.6,22
WPD,20170101,0.004,47,0.013,0.032,0.5,28
WPD,20170101,0.004,46,0.018,0.028,0.5,36
WPD,20170101,0.003,72,0.032,0.016,0.3,20
WPD,20170101,0.003,46,0.01,0.028,0.5,19
WPD,20170101,0.003,31,0.004,0.033,0.6,17
WPD,20170101,0.003,39,0.027,0.018,0.3,18
WPD,20170101,0.003,39,0.015,0.026,0.4,22
UND,20170201,0.009,30,0.015,0.025,0.6,20
UND,20170202,0.006,32,0.014,0.025,0.5,16
UND,20170203,0.009,52,0.014,0.036,0.8,36
UND,20170204,0.008,,0.004,0.049,1.2,85
UND,20170205,0.006,,0.015,0.03,0.8,61
UND,20170206,0.005,45,0.026,0.02,0.5,30
UND,20170207,0.006,46,0.008,0.035,0.6,27
UND,20170208,0.007,49,0.013,0.033,0.7,30
UND,20170209,0.004,46,0.03,0.013,0.3,14
UND,20170210,0.004,37,0.028,0.013,0.3,13
UND,20170211,0.004,28,0.029,0.011,0.3,11
UND,20170212,0.004,24,0.029,0.014,0.3,9
UND,20170213,0.005,39,0.011,0.03,0.7,22
UND,20170214,0.006,52,0.016,0.028,0.4,34
UND,20170215,0.007,67,0.011,0.038,0.4,37
UND,20170216,0.006,67,0.014,0.037,1,40
UND,20170217,0.01,42,0.03,0.014,0.4,12
UND,20170218,0.006,37,0.027,0.016,0.4,11
UND,20170219,0.005,43,0.021,0.024,0.6,17
UND,20170220,0.006,47,0.026,0.018,0.4,16
UND,20170221,0.006,55,0.012,0.029,0.5,23
UND,20170222,0.007,34,0.006,0.032,0.6,18
UND,20170223,0.006,39,0.032,0.014,0.4,15
UND,20170224,0.006,37,0.027,0.018,0.4,12
UND,20170225,0.005,36,0.027,0.019,0.4,16
UND,20170226,0.007,47,0.028,0.02,0.6,31
UND,20170227,0.008,53,0.014,0.029,0.7,28
UND,20170228,0.008,55,0.019,0.029,0.7,28
MPD,20170201,0.004,48,0.021,0.026,0.5,25
MPD,20170202,0.004,43,0.023,0.025,0.4,18
MPD,20170203,0.006,75,0.02,0.036,0.6,45
MPD,20170204,0.006,128,0.006,0.046,0.8,90
MPD,20170205,0.004,105,0.021,0.031,0.7,81
MPD,20170206,0.004,55,0.04,0.017,0.4,30
MPD,20170207,0.004,61,0.013,0.032,0.5,34
MPD,20170208,0.005,64,0.022,0.028,0.5,32
MPD,20170209,0.003,45,0.04,0.012,0.3,14
MPD,20170210,0.003,38,0.037,0.014,0.3,14
MPD,20170211,0.003,36,0.038,0.012,0.2,15
MPD,20170212,0.004,34,0.037,0.015,0.3,16
MPD,20170213,0.004,54,0.015,0.029,0.4,31
MPD,20170214,0.004,65,0.026,0.025,0.4,37
MPD,20170215,0.006,70,0.011,0.039,0.6,43
MPD,20170216,0.004,65,0.019,0.033,0.6,39
MPD,20170217,0.003,48,0.039,0.014,0.3,18
MPD,20170218,0.003,40,0.036,0.016,0.4,15
MPD,20170219,0.004,54,0.029,0.024,0.5,27
MPD,20170220,0.003,47,0.04,0.014,0.3,20
MPD,20170221,0.003,58,0.017,0.029,0.4,27
MPD,20170222,0.002,36,0.011,0.032,0.5,21
MPD,20170223,0.003,38,0.046,0.012,0.3,17
MPD,20170224,0.003,38,0.033,0.021,0.4,16
MPD,20170225,0.004,46,0.027,0.025,0.5,23
MPD,20170226,0.004,59,0.032,0.023,0.6,37
MPD,20170227,0.004,60,0.021,0.028,0.6,33
MPD,20170228,0.005,61,0.024,0.032,0.6,35
MCD,20170201,0.006,41,0.018,0.029,0.6,20
MCD,20170202,0.005,36,0.018,0.027,0.6,15
MCD,20170203,0.006,69,0.015,0.038,0.8,31
MCD,20170204,0.007,119,0.004,0.055,1.2,69
MCD,20170205,0.005,76,0.015,0.035,0.9,56
MCD,20170206,0.004,53,0.03,0.019,0.4,28
MCD,20170207,0.006,58,0.007,0.042,0.7,31
MCD,20170208,0.005,54,0.015,0.033,0.6,29
MCD,20170209,0.003,43,0.03,0.014,0.3,13
MCD,20170210,0.002,33,0.03,0.013,0.3,11
MCD,20170211,0.003,29,0.029,0.014,0.4,11
MCD,20170212,0.004,27,0.025,0.021,0.5,11
MCD,20170213,0.004,39,0.016,0.029,0.6,20
MCD,20170214,0.004,60,0.023,0.031,0.6,35
MCD,20170215,0.005,60,0.015,0.041,0.8,39
MCD,20170216,0.005,47,0.02,0.032,0.7,29
MCD,20170217,0.003,34,0.031,0.018,0.3,12
MCD,20170218,0.003,27,0.03,0.017,0.4,10
MCD,20170219,0.005,36,0.031,0.02,0.5,16
MCD,20170220,0.003,37,0.031,0.018,0.5,16
MCD,20170221,0.004,46,0.013,0.035,0.6,25
MCD,20170222,0.004,25,0.007,0.039,0.7,17
MCD,20170223,0.003,26,0.034,0.014,0.4,14
MCD,20170224,0.004,25,0.032,0.019,0.4,11
MCD,20170225,0.004,28,0.031,0.021,0.5,16
MCD,20170226,0.004,46,0.032,0.023,0.6,32
MCD,20170227,0.005,43,0.016,0.034,0.7,26
MCD,20170228,0.005,39,0.021,0.032,0.6,26
GSD,20170201,0.004,34,0.023,0.012,0.4,19
GSD,20170202,0.003,29,0.022,0.011,0.4,14
GSD,20170203,0.004,57,0.022,0.018,0.6,35
GSD,20170204,0.005,109,0.007,0.029,0.8,73
GSD,20170205,0.004,84,0.019,0.02,0.6,61
GSD,20170206,0.004,45,0.041,0.006,0.2,27
GSD,20170207,0.003,44,0.013,0.019,0.4,29
GSD,20170208,0.004,50,0.018,0.018,0.5,31
GSD,20170209,0.003,35,0.039,0.004,0.2,13
GSD,20170210,0.003,28,0.039,0.003,0.2,12
GSD,20170211,0.002,25,0.037,0.004,0.2,19
GSD,20170212,0.003,21,0.039,0.005,0.2,14
GSD,20170213,0.003,37,0.015,0.017,0.4,25
GSD,20170214,0.004,57,0.027,0.014,0.4,37
GSD,20170215,0.004,60,0.012,0.024,0.6,38
GSD,20170216,0.003,51,0.024,0.019,0.6,33
GSD,20170217,0.002,33,0.043,0.005,0.2,18
GSD,20170218,0.003,30,0.037,0.006,0.7,13
GSD,20170219,0.003,43,0.027,0.013,0.9,21
GSD,20170220,0.003,38,0.037,0.007,0.5,19
GSD,20170221,0.003,48,0.018,0.017,0.8,24
GSD,20170222,0.003,28,0.011,0.02,0.6,19
GSD,20170223,0.003,28,0.043,0.005,0.3,17
GSD,20170224,0.003,25,0.036,0.008,0.5,14
GSD,20170225,0.003,32,0.032,0.011,0.5,19
GSD,20170226,0.003,54,0.04,0.009,0.5,36
GSD,20170227,0.004,42,0.022,0.016,0.6,26
GSD,20170228,0.004,46,0.024,0.018,0.6,27
NED,20170201,0.006,41,0.024,0.024,0.4,17
NED,20170202,0.005,31,0.021,0.025,0.4,11
NED,20170203,0.008,63,0.02,0.037,0.6,28
NED,20170204,0.01,111,0.007,0.049,0.8,57
NED,20170205,0.008,85,0.022,0.03,0.7,45
NED,20170206,0.005,49,0.041,0.012,0.3,21
NED,20170207,0.004,51,0.013,0.033,0.5,21
NED,20170208,0.007,57,0.019,0.031,0.6,24
NED,20170209,0.004,42,0.041,0.007,0.3,10
NED,20170210,0.003,33,0.04,0.007,0.3,10
NED,20170211,0.003,30,0.037,0.009,0.3,13
NED,20170212,0.004,27,0.039,0.012,0.3,10
NED,20170213,0.004,43,0.018,0.03,0.5,21
NED,20170214,0.006,63,0.024,0.029,0.5,33
NED,20170215,0.006,66,0.015,0.044,0.6,32
NED,20170216,0.006,60,0.028,0.034,0.6,25
NED,20170217,0.004,39,0.049,0.007,0.2,12
NED,20170218,0.005,,0.039,0.013,0.4,10
NED,20170219,0.004,,0.03,0.025,0.5,18
NED,20170220,0.003,41,0.045,0.01,0.3,12
NED,20170221,0.005,55,0.018,0.033,0.6,22
NED,20170222,0.005,37,0.009,0.034,0.7,15
NED,20170223,0.004,35,0.047,0.007,0.4,12
NED,20170224,0.005,34,0.04,0.016,0.5,11
NED,20170225,0.005,45,0.036,0.022,0.6,18
NED,20170226,0.006,61,0.038,0.02,0.7,29
NED,20170227,0.007,56,0.019,0.036,0.7,22
NED,20170228,0.007,54,0.025,0.035,0.7,22
SND,20170201,0.007,35,0.015,0.03,0.6,15
SND,20170202,0.006,33,0.016,0.028,0.5,13
SND,20170203,0.009,56,0.016,0.039,0.8,29
SND,20170204,0.01,97,0.004,0.054,1.2,51
SND,20170205,0.007,73,0.011,0.038,0.9,38
SND,20170206,0.005,45,0.028,0.02,0.4,23
SND,20170207,0.006,48,0.009,0.038,0.6,22
SND,20170208,0.007,55,0.011,0.038,0.8,23
SND,20170209,0.004,,0.028,0.015,0.3,13
SND,20170210,0.004,,0.027,0.015,0.3,13
SND,20170211,0.005,30,0.025,0.018,0.4,14
SND,20170212,0.005,28,0.027,0.02,0.4,13
SND,20170213,0.006,37,0.013,0.034,0.6,20
SND,20170214,0.007,58,0.018,0.034,0.6,30
SND,20170215,0.008,58,0.013,0.044,0.8,33
SND,20170216,0.008,55,0.016,0.039,0.8,27
SND,20170217,0.004,40,0.03,0.017,0.4,15
SND,20170218,0.005,33,0.028,0.019,0.4,12
SND,20170219,0.007,43,0.026,0.026,0.6,18
SND,20170220,0.004,43,0.03,0.018,0.4,19
SND,20170221,0.006,47,0.015,0.034,0.6,20
SND,20170222,0.004,30,0.016,0.026,0.5,13
SND,20170223,0.004,34,0.032,0.016,0.4,17
SND,20170224,0.004,31,0.029,0.02,0.4,14
SND,20170225,0.005,38,0.028,0.024,0.6,17
SND,20170226,0.006,55,0.032,0.023,0.6,26
SND,20170227,0.007,50,0.014,0.038,0.8,23
SND,20170228,0.007,47,0.02,0.034,0.7,21
JLD,20170201,0.004,29,0.015,0.028,0.5,14
JLD,20170202,0.003,27,0.017,0.024,0.4,11
JLD,20170203,0.004,51,0.016,0.032,0.6,25
JLD,20170204,0.005,95,0.004,0.047,1,58
JLD,20170205,0.003,74,0.014,0.034,0.8,48
JLD,20170206,0.003,46,0.028,0.022,0.4,22
JLD,20170207,0.003,45,0.009,0.036,0.5,24
JLD,20170208,0.003,39,0.015,0.027,0.5,21
JLD,20170209,0.003,36,0.031,0.014,0.3,10
JLD,20170210,0.002,31,0.03,0.012,0.2,9
JLD,20170211,0.002,28,0.029,0.012,0.3,10
JLD,20170212,0.002,26,0.028,0.016,0.3,9
JLD,20170213,0.002,33,0.018,0.023,0.4,16
JLD,20170214,0.003,49,0.024,0.027,0.5,27
JLD,20170215,0.003,57,0.022,0.029,0.5,31
JLD,20170216,0.002,49,0.022,0.027,0.5,26
JLD,20170217,0.001,35,0.033,0.016,0.3,13
JLD,20170218,0.002,29,0.03,0.015,0.4,9
JLD,20170219,0.002,39,0.028,0.018,0.5,15
JLD,20170220,0.002,37,0.032,0.017,0.4,15
JLD,20170221,0.002,46,0.013,0.033,0.5,20
JLD,20170222,0.002,34,0.003,0.039,0.6,20
JLD,20170223,0.003,30,0.034,0.014,0.3,12
JLD,20170224,0.003,26,0.031,0.016,0.3,11
JLD,20170225,0.003,32,0.03,0.019,0.4,15
JLD,20170226,0.003,47,0.028,0.023,0.6,27
JLD,20170227,0.003,45,0.016,0.03,0.6,24
JLD,20170228,0.003,39,0.026,0.024,0.5,22
DSD,20170201,0.004,27,0.018,0.015,0.4,11
DSD,20170202,0.003,27,0.019,0.014,0.4,10
DSD,20170203,0.004,52,0.017,0.021,0.7,35
DSD,20170204,0.004,,0.004,0.03,1,81
DSD,20170205,0.004,,0.013,0.022,0.8,67
DSD,20170206,0.003,38,0.031,0.01,0.4,25
DSD,20170207,0.003,37,0.011,0.02,0.5,25
DSD,20170208,0.004,41,0.012,0.021,0.6,26
DSD,20170209,0.003,35,0.029,0.008,0.3,10
DSD,20170210,0.002,29,0.028,0.008,0.3,10
DSD,20170211,0.002,26,0.027,0.008,0.3,11
DSD,20170212,0.002,22,0.029,0.009,0.3,6
DSD,20170213,0.002,32,0.014,0.017,0.5,20
DSD,20170214,0.003,50,0.021,0.017,0.5,36
DSD,20170215,0.004,58,0.011,0.025,0.7,41
DSD,20170216,0.002,55,0.015,0.022,0.6,39
DSD,20170217,0.002,36,0.032,0.009,0.3,11
DSD,20170218,0.003,31,0.031,0.009,0.3,9
DSD,20170219,0.003,41,0.026,0.013,0.4,18
DSD,20170220,0.002,40,0.027,0.012,0.4,15
DSD,20170221,0.003,50,0.014,0.02,0.5,26
DSD,20170222,0.002,27,0.006,0.022,0.5,16
DSD,20170223,0.002,31,0.033,0.008,0.3,12
DSD,20170224,0.003,28,0.029,0.011,0.3,10
DSD,20170225,0.003,34,0.025,0.014,0.4,17
DSD,20170226,0.003,42,0.032,0.011,0.5,35
DSD,20170227,0.004,42,0.015,0.02,0.6,26
DSD,20170228,0.003,41,0.021,0.018,0.5,27
DHD,20170201,0.006,46,0.01,0.043,0.7,
DHD,20170202,0.005,42,0.012,0.04,0.6,
DHD,20170203,0.007,67,0.011,0.051,1,
DHD,20170204,0.007,114,0.002,0.062,1.4,
DHD,20170205,0.006,77,0.008,0.046,1,
DHD,20170206,0.005,60,0.02,0.032,0.5,
DHD,20170207,0.005,61,0.007,0.046,0.8,
DHD,20170208,0.006,58,0.008,0.046,0.9,
DHD,20170209,0.004,45,0.02,0.029,0.3,
DHD,20170210,0.003,41,0.019,0.029,0.3,
DHD,20170211,0.003,37,0.017,0.032,0.3,
DHD,20170212,0.004,31,0.02,0.032,0.4,
DHD,20170213,0.005,41,0.009,0.044,0.7,
DHD,20170214,0.005,65,0.015,0.043,0.5,
DHD,20170215,0.005,67,0.01,0.052,1,
DHD,20170216,0.006,57,0.011,0.048,1,
DHD,20170217,0.004,41,0.021,0.028,0.3,
DHD,20170218,0.004,42,0.021,0.029,0.5,
DHD,20170219,0.004,46,0.019,0.035,0.8,
DHD,20170220,0.003,44,0.021,0.029,0.4,
DHD,20170221,0.004,59,0.01,0.043,0.6,
DHD,20170222,0.004,37,0.003,0.046,0.9,
DHD,20170223,0.003,40,0.023,0.027,0.3,
DHD,20170224,0.003,36,0.021,0.032,0.5,
DHD,20170225,0.004,40,0.021,0.033,0.6,
DHD,20170226,0.005,60,0.025,0.03,0.7,
DHD,20170227,0.006,52,0.01,0.043,0.8,
DHD,20170228,0.005,55,0.007,0.047,0.9,
WPD,20170201,0.004,35,0.018,0.027,0.5,17
WPD,20170202,0.003,31,0.022,0.019,0.4,13
WPD,20170203,0.005,61,0.019,0.03,0.8,37
WPD,20170204,0.005,92,0.006,0.045,1.1,79
WPD,20170205,0.003,,0.017,0.033,0.9,60
WPD,20170206,0.003,46,0.032,0.021,0.5,26
WPD,20170207,0.003,50,0.012,0.032,0.6,29
WPD,20170208,0.004,45,0.017,0.028,0.5,28
WPD,20170209,0.003,49,0.031,0.018,0.3,15
WPD,20170210,0.003,41,0.031,0.016,0.3,13
WPD,20170211,0.003,37,0.03,0.016,0.3,13
WPD,20170212,0.003,31,0.032,0.015,0.4,11
WPD,20170213,0.003,37,0.021,0.019,0.5,22
WPD,20170214,0.004,54,0.026,0.025,0.6,39
WPD,20170215,0.004,60,0.021,0.027,0.7,47
WPD,20170216,0.003,53,0.026,0.022,0.6,39
WPD,20170217,0.002,44,0.035,0.02,0.4,17
WPD,20170218,0.004,37,0.032,0.017,0.4,14
WPD,20170219,0.003,44,0.034,0.014,0.5,22
WPD,20170220,0.003,46,0.031,0.022,0.5,20
WPD,20170221,0.003,54,0.016,0.031,0.6,29
WPD,20170222,0.003,33,0.005,0.039,0.7,21
WPD,20170223,0.003,42,0.033,0.02,0.4,17
WPD,20170224,0.003,35,0.034,0.018,0.4,14
WPD,20170225,0.003,35,0.036,0.014,0.4,19
WPD,20170226,0.004,48,0.035,0.019,0.6,37
WPD,20170227,0.004,46,0.017,0.03,0.7,29
WPD,20170228,0.004,44,0.027,0.024,0.5,29
UND,20170301,0.008,55,0.024,0.029,0.6,30
UND,20170302,0.006,40,0.032,0.014,0.4,20
UND,20170303,0.006,47,0.022,0.024,0.5,15
UND,20170304,0.009,62,0.018,0.031,0.7,34
UND,20170305,0.009,51,0.026,0.022,0.7,39
UND,20170306,0.008,45,0.033,0.013,0.4,21
UND,20170307,0.006,37,0.033,0.012,0.4,16
UND,20170308,0.005,47,0.032,0.014,0.3,14
UND,20170309,0.007,66,0.034,0.016,0.4,22
UND,20170310,0.007,47,0.023,0.023,0.4,22
UND,20170311,0.009,64,0.02,0.032,0.6,34
UND,20170312,0.009,67,0.034,0.028,0.7,51
UND,20170313,0.009,62,0.029,0.021,0.5,47
UND,20170314,0.009,56,0.023,0.024,0.5,31
UND,20170315,0.008,50,0.02,0.026,0.5,27
UND,20170316,0.009,53,0.023,0.026,0.5,31
UND,20170317,0.011,64,0.017,0.032,0.6,37
UND,20170318,0.012,62,0.025,0.028,0.7,39
UND,20170319,0.009,56,0.027,0.027,0.6,41
UND,20170320,0.007,69,0.018,0.029,0.6,39
UND,20170321,0.007,62,0.034,0.018,0.4,31
UND,20170322,0.007,53,0.027,0.021,0.4,25
UND,20170323,0.009,69,0.028,0.028,0.5,37
UND,20170324,0.007,61,0.028,0.026,0.5,35
UND,20170325,0.006,31,0.029,0.016,0.3,26
UND,20170326,0.006,33,0.034,0.011,0.3,25
UND,20170327,0.007,57,0.029,0.021,0.5,40
UND,20170328,0.008,58,0.035,0.019,0.5,44
UND,20170329,0.007,,0.038,0.017,0.3,25
UND,20170330,0.009,63,0.033,0.025,0.4,46
UND,20170331,0.007,35,0.036,0.017,0.3,
MPD,20170301,0.003,62,0.034,0.026,0.5,39
MPD,20170302,0.002,47,0.047,0.012,0.4,24
MPD,20170303,0.004,54,0.024,0.029,0.5,24
MPD,20170304,0.005,68,0.03,0.027,0.6,41
MPD,20170305,0.006,84,0.035,0.024,0.7,58
MPD,20170306,0.004,53,0.048,0.012,0.4,27
MPD,20170307,0.003,37,0.044,0.013,0.4,17
MPD,20170308,0.003,46,0.043,0.015,0.4,17
MPD,20170309,0.005,71,0.045,0.019,0.5,28
MPD,20170310,0.004,62,0.03,0.027,0.5,29
MPD,20170311,0.006,72,0.03,0.032,0.7,43
MPD,20170312,0.006,104,0.048,0.029,0.7,68
MPD,20170313,0.005,91,0.039,0.026,0.6,54
MPD,20170314,0.004,70,0.034,0.023,0.6,37
MPD,20170315,0.004,62,0.029,0.028,0.5,33
MPD,20170316,0.005,65,0.032,0.029,0.6,38
MPD,20170317,0.006,73,0.032,0.032,0.7,43
MPD,20170318,0.007,73,0.036,0.032,0.7,42
MPD,20170319,0.005,78,0.045,0.027,0.6,50
MPD,20170320,0.003,70,0.019,0.028,0.5,38
MPD,20170321,0.003,70,0.035,0.011,0.4,33
MPD,20170322,0.005,61,0.033,0.012,0.4,30
MPD,20170323,0.005,81,0.039,0.013,0.6,44
MPD,20170324,0.004,75,0.041,0.013,0.5,43
MPD,20170325,0.003,53,0.041,0.011,0.4,30
MPD,20170326,0.003,49,0.05,0.007,0.3,30
MPD,20170327,0.003,81,0.045,0.018,0.5,49
MPD,20170328,0.004,77,0.039,0.024,0.4,45
MPD,20170329,0.003,45,0.055,0.019,0.3,26
MPD,20170330,0.004,85,0.047,0.028,0.4,49
MPD,20170331,0.003,55,0.046,0.024,0.3,33
MCD,20170301,0.004,39,0.03,0.03,0.5,28
MCD,20170302,0.002,30,0.035,0.015,0.4,17
MCD,20170303,0.004,36,0.025,0.026,0.5,15
MCD,20170304,0.004,40,0.023,0.031,0.6,25
MCD,20170305,0.004,38,0.034,0.022,0.5,27
MCD,20170306,0.003,33,0.037,0.014,0.4,20
MCD,20170307,0.002,23,0.036,0.012,0.3,11
MCD,20170308,0.002,31,0.038,0.009,0.3,12
MCD,20170309,0.004,50,0.04,0.014,0.4,19
MCD,20170310,0.004,41,0.027,0.026,0.6,21
MCD,20170311,0.005,51,0.024,0.035,0.6,28
MCD,20170312,0.005,66,0.043,0.028,0.6,44
MCD,20170313,0.005,67,0.036,0.027,0.6,42
MCD,20170314,0.004,49,0.027,0.026,0.6,28
MCD,20170315,0.004,43,0.025,0.028,0.5,23
MCD,20170316,0.004,41,0.029,0.026,0.5,24
MCD,20170317,0.006,48,,0.034,0.7,29
MCD,20170318,0.007,51,0.025,0.038,0.8,31
MCD,20170319,0.005,54,0.031,0.035,0.7,34
MCD,20170320,0.003,50,0.027,0.03,0.7,30
MCD,20170321,0.003,61,0.037,0.019,0.5,33
MCD,20170322,0.004,57,0.029,0.026,0.5,31
MCD,20170323,0.005,70,0.029,0.034,0.6,42
MCD,20170324,0.004,57,0.032,0.027,0.6,36
MCD,20170325,0.003,36,0.031,0.02,0.5,24
MCD,20170326,0.003,39,0.034,0.015,0.5,29
MCD,20170327,0.003,61,0.038,0.021,0.6,43
MCD,20170328,0.004,55,0.038,0.02,0.5,38
MCD,20170329,0.003,36,0.039,0.023,0.4,23
MCD,20170330,0.004,67,0.032,0.035,0.5,43
MCD,20170331,0.003,43,0.036,0.023,0.5,31
GSD,20170301,0.003,48,0.032,0.017,0.5,
GSD,20170302,0.002,35,0.043,0.005,0.3,
GSD,20170303,0.003,40,0.027,0.013,0.4,
GSD,20170304,0.004,48,0.023,0.018,0.5,
GSD,20170305,0.004,55,0.031,0.015,0.5,
GSD,20170306,0.003,40,0.043,0.005,0.2,
GSD,20170307,0.003,35,,0.007,,
GSD,20170308,,,0.042,,0.304,
GSD,20170309,0.004,59,0.048,0.008,0.4,
GSD,20170310,0.004,42,0.037,0.011,0.3,
GSD,20170311,,,,,,
GSD,20170312,0.005,74,0.047,0.017,0.5,
GSD,20170313,0.004,73,0.049,0.01,0.4,
GSD,20170314,0.004,51,0.035,0.012,0.4,
GSD,20170315,0.003,45,0.028,0.016,0.5,
GSD,20170316,0.003,49,0.029,0.017,0.5,
GSD,20170317,0.005,53,0.026,0.019,0.5,
GSD,20170318,0.006,56,0.033,0.018,0.6,
GSD,20170319,0.005,64,0.042,0.015,0.6,
GSD,20170320,0.003,66,0.026,0.021,0.5,
GSD,20170321,0.003,56,0.048,0.009,0.3,
GSD,20170322,0.004,47,0.034,0.013,0.4,
GSD,20170323,0.005,60,0.043,0.014,0.5,
GSD,20170324,0.003,55,0.035,0.017,0.5,
GSD,20170325,0.002,43,0.037,0.012,0.4,
GSD,20170326,0.003,41,0.042,0.008,0.3,
GSD,20170327,0.003,61,0.05,0.009,0.4,
GSD,20170328,0.003,62,0.044,0.012,0.5,
GSD,20170329,0.003,34,0.05,0.01,0.3,
GSD,20170330,0.004,65,0.05,0.013,0.4,
GSD,20170331,0.002,47,0.044,0.012,0.4,
NED,20170301,0.006,61,0.034,0.032,0.6,25
NED,20170302,0.003,38,0.045,0.011,0.5,15
NED,20170303,0.005,50,0.027,0.029,0.5,14
NED,20170304,0.007,62,0.027,0.035,0.6,26
NED,20170305,0.008,63,0.036,0.025,0.7,30
NED,20170306,0.005,45,0.05,0.008,0.4,19
NED,20170307,0.004,32,0.051,0.007,0.4,12
NED,20170308,0.003,42,0.043,0.014,0.5,14
NED,20170309,0.007,64,0.05,0.015,0.5,19
NED,20170310,0.006,52,0.034,0.028,0.5,18
NED,20170311,0.007,68,0.027,0.041,0.7,29
NED,20170312,0.009,87,0.054,0.031,0.7,42
NED,20170313,0.007,80,0.051,0.02,0.6,39
NED,20170314,0.005,61,0.035,0.026,0.5,24
NED,20170315,0.005,55,0.028,0.032,0.5,22
NED,20170316,0.004,58,0.028,0.036,0.5,26
NED,20170317,0.007,69,0.026,0.041,0.6,32
NED,20170318,0.01,70,0.034,0.037,0.7,31
NED,20170319,0.007,75,0.04,0.035,0.6,36
NED,20170320,0.005,79,0.026,0.04,0.6,37
NED,20170321,0.004,64,0.046,0.019,0.4,24
NED,20170322,0.005,57,0.033,0.029,0.5,22
NED,20170323,0.006,71,0.046,0.026,0.5,27
NED,20170324,0.005,67,0.037,0.033,0.6,28
NED,20170325,0.003,50,0.042,0.018,0.5,21
NED,20170326,0.004,48,0.047,0.012,0.4,21
NED,20170327,0.004,71,0.047,0.02,0.5,37
NED,20170328,0.004,70,0.042,0.024,0.6,35
NED,20170329,0.004,44,0.049,0.02,0.4,20
NED,20170330,0.005,76,0.047,0.028,0.5,32
NED,20170331,0.004,60,0.045,0.02,0.5,27
SND,20170301,0.006,51,0.027,0.034,0.6,24
SND,20170302,0.003,38,0.032,0.017,0.4,19
SND,20170303,0.005,43,0.024,0.028,0.5,16
SND,20170304,0.006,52,0.02,0.036,0.7,23
SND,20170305,0.006,53,0.027,0.028,0.6,24
SND,20170306,0.003,43,0.033,0.015,0.4,19
SND,20170307,0.003,31,0.032,0.015,0.3,13
SND,20170308,0.003,37,0.03,0.017,0.4,15
SND,20170309,0.005,55,0.034,0.019,0.4,21
SND,20170310,0.006,47,0.028,0.025,0.5,19
SND,20170311,0.007,57,0.023,0.038,0.6,27
SND,20170312,0.008,74,0.041,0.031,0.6,35
SND,20170313,0.007,71,0.035,0.025,0.5,36
SND,20170314,0.006,53,0.028,0.025,0.5,28
SND,20170315,0.005,47,0.026,0.027,0.5,23
SND,20170316,0.004,49,0.027,0.028,0.5,24
SND,20170317,0.007,53,0.024,0.035,0.6,28
SND,20170318,0.009,59,0.023,0.04,0.7,28
SND,20170319,0.007,61,0.028,0.037,0.7,30
SND,20170320,0.005,54,0.026,0.031,0.6,26
SND,20170321,0.004,55,0.035,0.018,0.4,26
SND,20170322,0.005,50,0.029,0.024,0.4,25
SND,20170323,0.007,64,0.031,0.033,0.5,30
SND,20170324,0.005,54,0.033,0.025,0.5,26
SND,20170325,0.003,38,0.032,0.015,0.4,18
SND,20170326,0.004,45,0.033,0.013,0.4,22
SND,20170327,0.004,59,0.034,0.021,0.5,31
SND,20170328,0.005,60,0.035,0.02,0.5,30
SND,20170329,0.004,38,0.037,0.018,0.3,16
SND,20170330,0.006,68,0.033,0.032,0.5,31
SND,20170331,0.004,46,0.039,0.015,0.4,21
JLD,20170301,0.003,44,0.032,0.024,0.5,27
JLD,20170302,0.002,34,0.035,0.015,0.4,16
